(28, -3)
(30, 0)
(8, 0)
(0, -5)
(11, -5)
(15, -5)
(18, -1)
(21, 0)
(36, 0)
(28, -5)
(30, -2)
(32, -5)
(35, -1)
(18, -3)
(22, -3)
(5, -5)
(30, -4)
(11, 0)
(0, 0)
(35, -3)
(26, 0)
(38, -2)
(15, 0)
(7, -5)
(18, -5)
(37, -3)
(3, -1)
(11, -2)
(0, -2)
(32, 0)
(13, -5)
(15, -2)
(25, -4)
(35, -5)
(1, -3)
(20, -1)
(5, 0)
(17, -2)
(28, -2)
(32, -2)
(15, -4)
(7, 0)
(18, 0)
(20, -3)
(22, 0)
(28, -4)
(10, -1)
(35, 0)
(13, 0)
(18, -2)
(7, -2)
(31, -5)
(20, -5)
(23, -1)
(37, 0)
(5, -4)
(10, -3)
(35, -2)
(1, 0)
(25, -1)
(33, -5)
(18, -4)
(22, -4)
(27, -3)
(10, -5)
(0, -4)
(35, -4)
(25, -3)
(20, 0)
(31, 0)
(12, -5)
(37, -4)
(3, -2)
(23, -5)
(30, -1)
(8, -1)
(33, 0)
(25, -5)
(2, -3)
(16, -2)
(6, -3)
(31, -2)
(20, -2)
(30, -3)
(10, 0)
(38, -1)
(6, -5)
(20, -4)
(21, -3)
(12, 0)
(36, -3)
(27, 0)
(30, -5)
(10, -2)
(8, -5)
(0, -1)
(15, -1)
(12, -2)
(23, -2)
(28, -1)
(10, -4)
(0, -3)
(25, -2)
(2, 0)
(26, -3)
(6, 0)
(38, -5)
(15, -3)
